attempted,correct,performance,learning_rate,old_mastery,new_mastery,mastery_change
15,0,0.0,0.1,0.0,0.0,0.0
15,0,0.0,0.1,0.1,0.09,-0.01
15,0,0.0,0.1,0.2,0.18,-0.02
15,0,0.0,0.1,0.3,0.27,-0.03
15,0,0.0,0.1,0.4,0.36,-0.04
15,0,0.0,0.1,0.5,0.45,-0.05
15,0,0.0,0.1,0.6,0.54,-0.06
15,0,0.0,0.1,0.7,0.63,-0.07
15,0,0.0,0.1,0.8,0.72,-0.08
15,0,0.0,0.1,0.9,0.81,-0.09
15,0,0.0,0.1,1.0,0.9,-0.1
15,0,0.0,0.2,0.0,0.0,0.0
15,0,0.0,0.2,0.1,0.08,-0.02
15,0,0.0,0.2,0.2,0.16,-0.04
15,0,0.0,0.2,0.3,0.24,-0.06
15,0,0.0,0.2,0.4,0.32,-0.08
15,0,0.0,0.2,0.5,0.4,-0.1
15,0,0.0,0.2,0.6,0.48,-0.12
15,0,0.0,0.2,0.7,0.56,-0.14
15,0,0.0,0.2,0.8,0.64,-0.16
15,0,0.0,0.2,0.9,0.72,-0.18
15,0,0.0,0.2,1.0,0.8,-0.2
15,0,0.0,0.3,0.0,0.0,0.0
15,0,0.0,0.3,0.1,0.07,-0.03
15,0,0.0,0.3,0.2,0.14,-0.06
15,0,0.0,0.3,0.3,0.21,-0.09
15,0,0.0,0.3,0.4,0.28,-0.12
15,0,0.0,0.3,0.5,0.35,-0.15
15,0,0.0,0.3,0.6,0.42,-0.18
15,0,0.0,0.3,0.7,0.49,-0.21
15,0,0.0,0.3,0.8,0.56,-0.24
15,0,0.0,0.3,0.9,0.63,-0.27
15,0,0.0,0.3,1.0,0.7,-0.3
15,0,0.0,0.4,0.0,0.0,0.0
15,0,0.0,0.4,0.1,0.06,-0.04
15,0,0.0,0.4,0.2,0.12,-0.08
15,0,0.0,0.4,0.3,0.18,-0.12
15,0,0.0,0.4,0.4,0.24,-0.16
15,0,0.0,0.4,0.5,0.3,-0.2
15,0,0.0,0.4,0.6,0.36,-0.24
15,0,0.0,0.4,0.7,0.42,-0.28
15,0,0.0,0.4,0.8,0.48,-0.32
15,0,0.0,0.4,0.9,0.54,-0.36
15,0,0.0,0.4,1.0,0.6,-0.4
15,0,0.0,0.5,0.0,0.0,0.0
15,0,0.0,0.5,0.1,0.05,-0.05
15,0,0.0,0.5,0.2,0.1,-0.1
15,0,0.0,0.5,0.3,0.15,-0.15
15,0,0.0,0.5,0.4,0.2,-0.2
15,0,0.0,0.5,0.5,0.25,-0.25
15,0,0.0,0.5,0.6,0.3,-0.3
15,0,0.0,0.5,0.7,0.35,-0.35
15,0,0.0,0.5,0.8,0.4,-0.4
15,0,0.0,0.5,0.9,0.45,-0.45
15,0,0.0,0.5,1.0,0.5,-0.5
15,0,0.0,0.6,0.0,0.0,0.0
15,0,0.0,0.6,0.1,0.04,-0.06
15,0,0.0,0.6,0.2,0.08,-0.12
15,0,0.0,0.6,0.3,0.12,-0.18
15,0,0.0,0.6,0.4,0.16,-0.24
15,0,0.0,0.6,0.5,0.2,-0.3
15,0,0.0,0.6,0.6,0.24,-0.36
15,0,0.0,0.6,0.7,0.28,-0.42
15,0,0.0,0.6,0.8,0.32,-0.48
15,0,0.0,0.6,0.9,0.36,-0.54
15,0,0.0,0.6,1.0,0.4,-0.6
15,0,0.0,0.7,0.0,0.0,0.0
15,0,0.0,0.7,0.1,0.03,-0.07
15,0,0.0,0.7,0.2,0.06,-0.14
15,0,0.0,0.7,0.3,0.09,-0.21
15,0,0.0,0.7,0.4,0.12,-0.28
15,0,0.0,0.7,0.5,0.15,-0.35
15,0,0.0,0.7,0.6,0.18,-0.42
15,0,0.0,0.7,0.7,0.21,-0.49
15,0,0.0,0.7,0.8,0.24,-0.56
15,0,0.0,0.7,0.9,0.27,-0.63
15,0,0.0,0.7,1.0,0.3,-0.7
15,0,0.0,0.8,0.0,0.0,0.0
15,0,0.0,0.8,0.1,0.02,-0.08
15,0,0.0,0.8,0.2,0.04,-0.16
15,0,0.0,0.8,0.3,0.06,-0.24
15,0,0.0,0.8,0.4,0.08,-0.32
15,0,0.0,0.8,0.5,0.1,-0.4
15,0,0.0,0.8,0.6,0.12,-0.48
15,0,0.0,0.8,0.7,0.14,-0.56
15,0,0.0,0.8,0.8,0.16,-0.64
15,0,0.0,0.8,0.9,0.18,-0.72
15,0,0.0,0.8,1.0,0.2,-0.8
15,0,0.0,0.9,0.0,0.0,0.0
15,0,0.0,0.9,0.1,0.01,-0.09
15,0,0.0,0.9,0.2,0.02,-0.18
15,0,0.0,0.9,0.3,0.03,-0.27
15,0,0.0,0.9,0.4,0.04,-0.36
15,0,0.0,0.9,0.5,0.05,-0.45
15,0,0.0,0.9,0.6,0.06,-0.54
15,0,0.0,0.9,0.7,0.07,-0.63
15,0,0.0,0.9,0.8,0.08,-0.72
15,0,0.0,0.9,0.9,0.09,-0.81
15,0,0.0,0.9,1.0,0.1,-0.9
15,1,0.0667,0.1,0.0,0.0067,0.0067
15,1,0.0667,0.1,0.1,0.0967,-0.0033
15,1,0.0667,0.1,0.2,0.1867,-0.0133
15,1,0.0667,0.1,0.3,0.2767,-0.0233
15,1,0.0667,0.1,0.4,0.3667,-0.0333
15,1,0.0667,0.1,0.5,0.4567,-0.0433
15,1,0.0667,0.1,0.6,0.5467,-0.0533
